Company Name,Employees,HQ Location,Ownership Status,Description,Verticals,Primary Industry Sector,Primary Industry Group,Last Financing Date,Last Financing Deal Type,Last Financing Deal Type 2,Last Financing Size,Last Financing Valuation,Total Raised,# Active Investors,Active Investors,Website
GreenSight Agronomics,28,"Boston, MA",Privately Held (backing),"Provider of an automated, agronomic intelligence platform that helps golf courses and agricultural industries reduce water and chemical costs. The company's automated, agronomic intelligence platform is used for turfgrass remote sensing and analysis combined with automated drones, sensors and proprietary analytics to capture detailed plant health data, process it and deliver golf courses and agricultural chemical companies maps and alerts enabling them to better manage water, pesticide, and fertilizer usage while maximize the performance of their turf or crops.","AgTech, Artificial Intelligence & Machine Learning, Robotics and Drones, TMT",Information Technology,Software,6-Feb-18,Corporate,Corporate,,,2.6,5,"Autonomy Ventures, Kiddar Capital, Tabard Venture Capital, The Toro, United States Department of Defense",www.greensightag.com
Tusker Medical,28,"Menlo Park, CA",Privately Held (backing),"Developer of medical devices for ear, nose and throat treatments. The company's suite of pediatric-focused technologies include an iontophoresis system to safely and reliably provide needle-free local anesthesia to the tympanic membrane and a tube delivery system designed to provide an automated single-button delivery of the tympanostomy tube, enabling placement of tubes within the comfort of an office environment, eliminating the need for general anesthetics.",,Healthcare,Healthcare Devices and Supplies,27-Sep-18,Early Stage VC,,20,,47.53,2,"Apple Tree Partners, Johnson & Johnson Innovation - JJDC",www.tuskermed.com
Nova Credit,28,"San Francisco, CA",Privately Held (backing),"Provider of a global credit reporting platform designed to solve the problem of credit access for immigrants. The company's platform offers cross-border consumer credit services that passes reports onto lenders, property managers and other domestic businesses so that they can make more informed determination on whether to accept or reject a credit application, enabling immigrants to seek financial services, housing and more when moving abroad through a digital credit passport software that helps lenders to view creditor's history.","FinTech, TMT",Information Technology,Software,31-May-18,Early Stage VC,Series A,16,,19.67,13,"Cardinal Ventures, Core Innovation Capital, FinTech Innovation Lab, First Round Capital, General Catalyst, Index Ventures (UK), Moderne Ventures, Nyca Partners, Pear, StartX, Sterling Road, XSeed Capital, Y Combinator",www.novacredit.com
Grabr,28,"San Francisco, CA",Privately Held (backing),"Provider of a peer-to-peer shopping and delivery community designed to bridge gaps in the global shopping market. The company's platform helps individuals to buy unique or hard-to-find items from around the world by connecting them with travelers headed their way, enabling consumers to make money by shopping easily.","E-Commerce, Mobile, TMT",Consumer Products and Services (B2C),Retail,18-Apr-19,Early Stage VC,,2.32,,16.46,20,"Alexey Repik, Charles Songhurst, Diana Moldavsky, Diana Moldovan, FF Angels, Foundation Capital, Founders Fund, Geoff Donaker, Global Founders Capital, Gokul Rajaram, Javier Olivan, Matthew Wyndowe, NFX, Novaport Holding, N-Trans Group, Partech Partners, Plug and Play Tech Center, RBV Capital, SignalFire, Tekton Ventures",www.grabr.io
Funraise,28,"Long Beach, CA",Privately Held (backing),"Provider of nonprofit fundraising platform intended to raise funds online. The company's nonprofit fundraising platform includes fundraising websites, donation forms, donor management, crowdfunding websites and wealth screening, enabling clients to raise money online and collect donations.","FinTech, TMT",Information Technology,Software,30-Jan-18,Early Stage VC,Series A,9.7,27.71,12.7,4,"Henry Vess, Tech Coast Angels, Toba Capital, Watermark Venture Capital",funraise.org
dotin,28,"Fremont, CA",Privately Held (backing),"Developer of a cloud-based artificial intelligence platform designed to capture digital personality fingerprint. The company's platform combines psychology, structured, unstructured social and enterprise data and machine learning to identify subconscious motivators and leverage these vital personality insights, enabling organizations to improve business outcomes and the workplace itself.","Artificial Intelligence & Machine Learning, Big Data, SaaS, TMT",Information Technology,Software,13-Dec-18,Angel (individual),Angel (individual),1.2,,2.2,4,"BRIIA, Net One Systems, Plug and Play Tech Center, Sven Hensen",www.dotin.us
Lively (Application Software),28,"San Francisco, CA",Privately Held (backing),"Developer of a Health Savings Accounts (HSA) platform designed for individuals and businesses. The company's platform offers a no strings attached free HSA account for individuals and helps employers to administer an HSA for their employees, enabling consumers to optimize their healthcare spending, maximize their savings and better their livelihood.","HealthTech, Mobile, TMT",Information Technology,Software,13-Nov-18,Early Stage VC,Series A1,15.19,45.19,19.51,18,"Cantos Ventures, Costanoa Ventures, Farooq Abbasi, Fifty Years, Frederic Kerrest, FundersClub, Isaac Oates, Jeffery Epstein, Liquid 2 Ventures, Navitas Capital, Paul Buchheit, PJC, Streamlined Ventures, SV Angel, Teamworthy Ventures, The Durant Company, Transmedia Capital, Y Combinator",www.livelyme.com
Boundless,28,"Seattle, WA",Privately Held (backing),"Developer of an innovative technology platform designed to navigate your immigration journey with confidence. The company's innovative technology platform provides the tools, information and personalized support to resolve family immigration issues, enabling U.S. citizens and Green Card holders to apply for visas for their spouses.",TMT,Consumer Products and Services (B2C),Media,20-Mar-19,Early Stage VC,Series A,7.8,,11.35,8,"Forefront Venture Partners, Founders' Co-op, Foundry Group, Industry Ventures, Pioneer Square Labs, The Gramercy Fund, Trilogy Equity Partners, Two Sigma Ventures",www.boundless.com
Self Lender,27,"Austin, TX",Privately Held (backing),"Provider of credit score analysis tools designed to offer loans and help people to build a strong financial future. The company's analysis tool provides credit score tracking, credit monitoring and an opportunity to apply for a credit builder account, enabling consumers to access loans, check credit scores and get credit monitoring.","FinTech, TMT",Information Technology,Software,15-Nov-18,Early Stage VC,Series B,10.63,,18.32,13,"Accion, Acumen Venture Partners, Alex Welch, Altos Ventures, Deep Space Ventures, Kairos Society, Kickstart Seed Fund, Ozmen Ventures, Right Side Capital Management, Silverton Partners, Techstars, Temerity Capital Partners, Upslope Ventures",www.selflender.com
WhereTo,27,"San Francisco, CA",Privately Held (backing),"Provider of an AI-based corporate travel platform designed to help users search across dozens of channels for the best prices. The company's platform helps users to input their actual meeting location or business name rather than city or airport permitting the algorithm to factor in real time commute conditions in making the flight and hotel recommendations, enabling corporations to adjust pre-configured algorithms to meet their business objectives, generating real-time, complete trip recommendations that balance cost against convenience and user preferences.","Mobile, TMT",Information Technology,Software,7-Feb-18,Early Stage VC,Series A,8,,9.47,8,"500 Startups, Dyrdek Machine, Emergence Capital Partners, Global Trust Group, Plug and Play Tech Center, Rob Dyrdek, Stage Venture Partners, Visionary Private Equity Group",www.whereto.com
Deep 6 AI,27,"Pasadena, CA",Privately Held (backing),"Developer of clinical data software designed to expedite the process of finding patients for clinical trials. The company's software uses artificial intelligence and natural language processing to extract thousands of new clinical data points, turning fragmented medical documents into unified patient graphs while masking protected health information, enabling doctors, researchers and analysts to find and compare patients, cohorts and populations in minutes, thereby getting life-saving cures to people faster.","Artificial Intelligence & Machine Learning, Big Data, TMT",Healthcare,Healthcare Technology Systems,3-Feb-18,Accelerator/Incubator,,,,6.12,8,"AI List, GSR Ventures, Healthbox, StartX, Summation Health Ventures, SXSW Accelerator, Techstars, TMC Innovation",www.deep6.ai
EmployStream,27,"Cleveland, OH",Privately Held (backing),"Developer of a SaaS platform designed to simplify the hiring process for high-volume employers. The company's web-based digital platform accommodates all the hiring processes, helps in leveraging the existing data and offers real-time access from any desktop, tablet or a smartphone, enabling employers to reduce hiring cost and streamline their new hire onboarding process.","HR Tech, Mobile, SaaS",Business Products and Services (B2B),Commercial Services,7-Jan-19,Early Stage VC,Series A,2.17,9.67,3.18,4,"JumpStart, M25, North Coast Angel Fund, Rev1 Ventures",www.employstream.com
Cherry Home,27,"San Francisco, CA",Privately Held (backing),"Developer of an assistant intelligent device intended to take care of children and elder people. The company's device monitors all the activity and sends notifications whenever normal patterns change or if there is a dangerous event such as a fall or a significant stumble, enabling users to stay safe always.","Artificial Intelligence & Machine Learning, Big Data, Mobile, TMT",Consumer Products and Services (B2C),Consumer Durables,20-Dec-18,Early Stage VC,Series A,5.2,17.2,6.04,11,"Acherim Shorman, Alexander Agapitov, AltaIR Capital, Gagarin Capital Partners, Greg Silverman, GSR Ventures, GVA Capital, ImpulseVC, Julia Neznanova, Plug and Play Tech Center, Yuri Gursky Haxus",www.cherryhome.ai
Rightway (Patient Navigation Platform),27,"New York, NY",Privately Held (backing),"Developer of a patient navigation and analytics platform intended to optimize healthcare expenditure for employers and employees. The company's navigation platform provides personalized tools to help companies understand every angle of their historical spend as well as claims data and creates healthier corporate communities, drives employee engagement and identifies cost savings opportunities to ensure plans and benefits are being utilized properly, enabling users to connect with the most affordable and appropriate care providers, both in an emergency and routinely.","HealthTech, TMT",Healthcare,Healthcare Technology Systems,27-Feb-19,Early Stage VC,Series A,8,,10,2,"Jonathan Locker, Rizk Ventures",www.rightwayhealthcare.com
Ribon Therapeutics,26,"Lexington, MA",Privately Held (backing),"Developer of novel therapeutics targeting monoADP-ribosylating PARPs for cancer designed to block cancer cells' fundamental ability to survive under stress. The company is creating an integrated technology platform to interrogate monoPARPs and to discover and develop, small molecule medicines that selectively target monoPARPs to treat cancer.","Life Sciences, Oncology",Healthcare,Pharmaceuticals and Biotechnology,4-Jan-19,Early Stage VC,Series B,65,134,108.5,9,"Celgene, Deerfield Management, Euclidean Capital, Johnson & Johnson Innovation - JJDC, Novartis Venture Fund, Osage University Partners, Takeda Ventures, The Column Group, US Venture Partners",www.ribontx.com
UrbanFootprint,26,"Berkeley, CA",Privately Held (backing),"Developer of a a cloud-based software platform designed to serve the urban planning, new mobility, real estate, and sustainable finance sectors. The company's platform serves curated and actionable data, powerful scenario development tools and a full suite of analysis models, enabling users to gain insights into the mobility, climate, fiscal, health, and environmental impacts of development and policy decisions.",Real Estate Technology,Information Technology,Software,14-Aug-18,Early Stage VC,,3.5,,8.56,1,Social Capital,www.urbanfootprint.com
Genvid,26,"New York, NY",Privately Held (backing),"Provider of an interactive streaming engine designed to integrate games into e-sports broadcasts. The company's engine provides a SDK for game developers to integrate into their games and make broadcasts across multiple streaming platforms and providers, enabling games, esports tournament providers to make any multiplayer game (esports titles, virtual reality games and massively multiplayer online games) more compelling to watch on streaming services.","eSports, Gaming, SaaS, TMT",Information Technology,Software,20-Aug-18,Early Stage VC,Series A1,10,70,20,4,"Horizons Ventures, Makers Fund, March Capital Partners, OCA Ventures",www.genvidtech.com
Numerated,26,"Boston, MA",Privately Held (backing),"Developer of a real-time commerce platform designed to build the next generation of technology for banks. The company's platform offers real-time lending with digital credit policies, automated digital and direct marketing and also tools to find sales opportunities, enabling banks to make quick loans to small businesses.","FinTech, TMT",Financial Services,Other Financial Services,28-Nov-18,Early Stage VC,Series A,8,27.8,17,8,"Bright FinTech, Eastern Bank, Fidelity National Information Services, FINTOP Capital, First Federal Lakewood, Hyperplane Venture Capital, Raj Date, Venrock",www.numerated.com
Atmosic,26,"Saratoga, CA",Privately Held (backing),"Developer of low power wireless technologies intended to enable connected wireless devices to have forever battery life or to be battery free. The company's wireless technologies aggressively reduce connected device dependence on battery power, enabling battery free or forever battery devices to address the emergent opportunities of connected IoT devices.","Internet of Things, TMT",Information Technology,Semiconductors,19-Jul-18,Early Stage VC,Series A1,15,45,21,5,"A&E Investments, Clear Ventures, Dolby Family Ventures, Sutter Hill Ventures, Walden International",www.atmosic.com
Omniex,26,"San Francisco, CA",Privately Held (backing),"Operator of the crypto-asset operating platform created to bridge the gap between investors and market infrastructure. The company's platform offers services, from portfolio and order management to risk and data analytics to connectivity and execution and are specifically built with institutional clients in mind, tailored for crypto-assets, enabling clients to get a complete end-to-end services for crypto-assets in a hassle free manner.","FinTech, SaaS, TMT",Information Technology,Software,28-Dec-17,Seed Round,Seed Round,5,40,10,7,"Alan Howard, Clocktower Technology Ventures, Digital Currency Group, Jump Capital, Sierra Ventures, ThirdStream Partners, Wicklow Capital",www.omniex.io
Wyze,26,"Kirkland, WA",Privately Held (backing),"Developer of smart home products designed to provide automated home security. The company's products include cameras and accompanying electronics that consist of infrared-based night vision, motion detection, voice activation and 2-way audio, enabling homeowners to automatically and manually monitor the most important parts of their property.","Internet of Things, TMT",Consumer Products and Services (B2C),Consumer Durables,14-Dec-18,Early Stage VC,Series A,20,100.3,21.3,2,"iSeed Ventures, Norwest Venture Partners",www.wyze.com
R2.AI,26,"San Ramon, CA",Privately Held (backing),"Developer of an AI development and operation platform designed to accelerate AI adoption across all industries. The company's platform provides AI capabilities to all kinds of companies to automatically build and deploy beautiful machine learning models on their own, regardless whether or not they have in-house AI or big data expertise, enabling their clients to have high-end AI solutions that are cost-effective to implement and maintain.","Artificial Intelligence & Machine Learning, Big Data, Industrials, Robotics and Drones, TMT",Business Products and Services (B2B),Commercial Products,20-Sep-17,Seed Round,Seed Round,2,11,2,2,"OceanIQ Capital, Pharmaron",www.r2.ai
Pingboard,25,"Austin, TX",Privately Held (backing),Provider of live org chart and workforce planning software.,"SaaS, TMT",Information Technology,Software,31-May-18,Seed Round,Seed Round,2.5,,7.5,12,"Active Capital, Auren Hoffman, Betaworks, Capital Factory, Capital Thought, Jonathan Siegel, Joshua Baer, Lew Moorman, Pat Condon, Right Ventures, Rony Kahan, Silverton Partners",www.pingboard.com
Replika,25,"San Francisco, CA",Privately Held (backing),"Developer of AI-based personal chatbots designed to help people to get engage in text-based conversations. The company's AI-based personal chatbots recognizes the user's tone and personality and stores memories and eventually learns to mimic their texting style, enabling them to create a conversational journal.","Artificial Intelligence & Machine Learning, Mobile, TMT",Information Technology,Software,30-Nov-17,Early Stage VC,Series A2,6.5,32.5,11.16,8,"All Turtles, Justin Waldron, Khosla Ventures, Ludlow Ventures, Philip Libin, Richard Socher, Sherpa Capital, Y Combinator",www.replika.ai
Averon,25,"San Francisco, CA",Privately Held (backing),"Developer and provider of the Direct Autonomous Authentication (DAA) platform, intended to make smartphones the key to verified identity online. The company's DAA products are an automatic and secure mobile identity verification standard, which confirms user identity by leveraging real-time mobile network signaling and the SIM/eSIM chips already contained in mobile phones, enabling users to secure their mobile life across the entire digital world, including banking and ecommerce, fraud prevention, smart vehicles and homes, blockchain and IoT devices.","Cybersecurity, Internet of Things, Mobile, TMT",Information Technology,Software,13-Jul-18,Early Stage VC,Series A2,10,90,30.13,11,"500 Startups, Avalon Ventures, Darling Ventures, Digital Currency Group, Marc Benioff, Mitsui Sumitomo Insurance Venture Capital, Sage Venture Partners, Telefónica UK, The Cambria Group, The Dcode Group, Wayra UK",www.averon.com
Notion (Smart Home Sensor),25,"Denver, CO",Privately Held (backing),"Developer of a wireless home monitoring system designed to offer complete home awareness through a single multi-function sensor. The company's data analytics, intuitive user experience, and an all-in-one, oreo-sized sensor allow for real-time alerts ranging from motion and temperature to water leaks and alarms. Through data collection and provision, the company has partnered with several insurance companies in the US.","Internet of Things, Mobile, TMT",Consumer Products and Services (B2C),Consumer Durables,13-Jun-17,Early Stage VC,Series A,10,26,17.52,39,"Camber Creek, Chasella, DNX Ventures, Dragon Innovation, DreamFunded, Foundry Group, Frontier Venture Capital, Gabriel Investments, Goldwing Capital, Hammerstone Capital, Hillcrest Venture Partners, J.D. Fagan, Jeff Heitzman, Jon Borgen, Liberty Mutual Strategic Ventures, Matchstick Ventures, Mesh Ventures, MetaProp NYC, Morris Wheeler, Notion, Plug and Play Tech Center, Right Side Capital Management, Saad AlSogair, Salil Pradhan, Scott Kosch, Service Provider Capital, Shu Duan, SKS Ventures, Steelhead Ventures, Surender Punia, Techstars, TransLink Capital, University of Colorado Deming Center Venture Fund, Upslope Ventures, Vaidya Capital Partners, Valence Ventures, Wakestream Ventures, Walter Winshall, XL Innovate",www.getnotion.com
QxBranch,25,"Washington, DC",Privately Held (backing),"Developer of algorithms and software focused on predictive analytics, forecasting, and optimization that are designed for quantum and classical computers. The company develops solutions for organizations facing difficult business analytics challenges in domains including finance, insurance, pharmaceuticals, media, and energy.","Artificial Intelligence & Machine Learning, Big Data, SaaS, TMT",Information Technology,Software,25-Jun-18,Early Stage VC,Series A,8.47,,8.47,6,"Alpha Intelligence Capital Fund, Dymon Asia Ventures, FinTech Innovation Lab, Maryland Venture Fund, Summer Capital, WorldQuant Ventures",www.qxbranch.com
LendStreet,25,"Oakland, CA",Privately Held (backing),"Provider of an online lending platform designed to enhance debt restructuring and refinancing. The company's online lending platform offers consumer lending services for people in financial distress to refinance their old debt, enabling borrowers to reduce their debt and rebuild their credit, and allows investors to buy the loan at a discount.","FinTech, TMT",Financial Services,Other Financial Services,7-Jun-18,Early Stage VC,Series A,117,,152,31,"Accion, Aslanoba Capital, Bradley Gambling, Byron Nimocks, Center For Financial Services Innovation, Clark Dees, Cross Culture Ventures, Dev Kapur, Financial Solutions Lab, FinTech Angels by ITB Ventures, Hard Yaka, i.Lab at UVA, Kapor Capital, Kevin Schuyler, Lok Lee, Luke Powell, Marlon Nichols, Matthew Paulson, Maureen Singer, Noah Knippa, Pi Investments, Prudential Financial, Radicle Impact, Rueben Stokes, Sean Bill, Sebenza Nkomo, Serious Change, Tilmann Gruber, Tuesday Capital, Vaidhehi Balaraman, Village Capital",www.lendstreet.com
Dolly,25,"Seattle, WA",Privately Held (backing),"Developer of a mobile application intended to offer moving, delivery and heavy lifting concierge. The company's platform connects with a helper who can move furniture between apartments, pick up big items purchased on Craigslist, at a garage sale or at Ikea, donate furniture to a local charity and tackle any other job that requires a truck and some extra muscle, enabling users to get help on their time at an affordable price.","Industrials, Mobile, TMT",Business Products and Services (B2B),Commercial Services,2-May-19,Early Stage VC,Series A1,9.34,48.84,19.04,7,"Ben Elowitz, Ethan Beard, Hyde Park Venture Partners, Jeffrey Wilke, KGC Capital, Maveron, Unlock Venture Partners",www.dolly.com
UserIQ,25,"Atlanta, GA",Privately Held (backing),"Developer of a SaaS based customer growth platform designed to help understand, engage and anticipate users. The company's platform tracks what users are doing inside web applications as well as combines user intelligence, targeted engagements and customer health, enabling customer service, product management and product marketing teams to deliver relevant messages to the right user at the right time in order to scale onboarding, increase feature usage, accelerate time-to-value and drive more revenue.","Marketing Tech, SaaS, TMT",Information Technology,Software,8-Apr-19,Later Stage VC,,3.65,17,10.88,6,"Accelerant Venture Capital, Advanced Technology Development Center, Ashish Mistry, BIP Capital, BLH Venture Partners, Tech Square Venture Partners",www.useriq.com
Clubhouse Software,25,"New York, NY",Privately Held (backing),"Developer of project management software tools designed to improve the way engineering teams work together. The company's software offers unique filtering system that gives an unprecedented level of visibility across teams and projects and its workspaces helps to jump across projects, epics, columns and filters in a single keystroke, enabling software engineering teams to plan, build and deploy their products with ease.","SaaS, TMT",Information Technology,Software,12-Dec-17,Early Stage VC,Series A,10,40,14,12,"AngelList, Battery Ventures, BoxGroup, Brooklyn Bridge Ventures, Flight Ventures, Jonathan Kelfer, Lerer Hippeau, Neu Venture Capital, Resolute Ventures, RRE Ventures, Zachery Coelius, Zeitgeist Capital",www.clubhouse.io
HqO,25,"Cambridge, MA",Privately Held (backing),"Provider of a professional tenant experience platform created to connect people to places, experiences and each other. The company's platform offers a tool for startup companies to search for products or services and get connected with professionals that can provide advice, references and introductions, enabling users to communicate with their closest business contacts and connect with new partners.",Real Estate Technology,Information Technology,Software,8-Feb-19,Early Stage VC,,,,12.64,27,"Accomplice VC, Boston Seed Capital, Brent Grinna, Brian Shin, Bridge Boys, Charley Polachi, David Hirsch, Dharmesh Shah, Diane Hessan, DivcoWest, Full Stack, Goodwin Gaw, Jamestown, Jason Robins, Jeremy Neuer, JLL Spark, John Garbarino, MetaProp NYC, Michael Krug, Navitas Capital, Peak6 Sports, Philip Beauregard, Pritzker Group Venture Capital, Rick Desai, Rodney Fisher, Sarah Hodges, Walter Danco",www.hqo.co
BeBop Sensors,25,"Berkeley, CA",Privately Held (backing),"Developer of smart fabric sensors designed to connect rigid electronics to squishy people. The company's sensors comprehend force, location, size, weight, bend, twist and presence across any size, resolution and geometry, for precise analysis of data, enabling product designers and visionaries to create elegant sensor services for original equipment manufacturers.","TMT, Wearables & Quantified Self",Consumer Products and Services (B2C),Consumer Durables,18-Apr-18,Early Stage VC,Series A,10,35,10,1,Bullpen Capital,www.bebopsensors.com
The Dyrt,25,"Portland, OR",Privately Held (backing),"Provider of a campground search and review platform designed to offer reviews and information on campsites. The company's platform offers guidance for adventure trips, camping contests and camping games, enabling users to review campgrounds, earn points and win prizes.","Mobile, TMT",Consumer Products and Services (B2C),Media,13-Nov-18,Early Stage VC,Series A,3.4,18,5.93,11,"CrowdSmart, Elevate Capital, Fluffco Investments, Peninsula Ventures, Portland Seed Fund, Rogue Venture Partners, Starveups, Telluride Venture Accelerator, TiE Oregon Angels, Varkain, Women's Venture Capital Fund",www.thedyrt.com
Triplebyte,25,"San Francisco, CA",Privately Held (backing),"Provider of a recruitment platform designed to find suitable workplace for job seekers. The company's platform uses a credentials-blind process that evaluates technical skills instead of credentials as well as features jobs as per the skills sets, enabling engineers to find programming jobs as per their interest and expertise.","HR Tech, SaaS, TMT",Consumer Products and Services (B2C),Media,11-Apr-19,Early Stage VC,,35,,49.62,31,"Andrew Houston, Brian Singerman, Caffeinated Capital, Daniel Gross, David King, Elad Gil, Emmett Shear, Eric Wu, Felicis Ventures, Fort Ventures, Geoff Ralston, Greg Brockman, Ilya Sukhar, Initialized Capital Management, Jake Gibson, James Beshara, Jessica Livingston, Joe Greenstein, Justin Kan, Kevin Hale, Kyle Vogt, Marissa Mayer, Paul Buchheit, Paul Graham, Raymond Tonsing, Sam Altman, SV Angel, Tikhon Bernstam, William Clerico, Xavier Niel, Y Combinator",www.triplebyte.com
Patch,25,"Santa Monica, CA",Privately Held (backing),"Provider of health insurance claim processing services designed to help people to submit their medical claim within a short period of time. The company's services help people to file their out-of-network insurance claims by uploading a photo of their itemized bill, enabling people to have a better experience with healthcare.","InsurTech, TMT",Financial Services,Insurance,13-Mar-18,Seed Round,Seed Round,3,13,5.55,9,"Cantos Ventures, Christopher D'Cruz, FundersClub, Healthy Ventures, Insure.VC, KEC Ventures, Launchpad Digital Health, Rogue Venture Partners, Waterline Ventures",www.getpatch.com
MachineMetrics,25,"Northampton, MA",Privately Held (backing),"Developer of an industrial IoT platform designed to offer production monitoring software for the manufacturing industry. The company's platform offers real-time visibility, deep manufacturing analytics and AI-driven predictive notifications, enabling manufacturing industry to increase their productivity.","Advanced Manufacturing, Internet of Things, SaaS, TMT",Information Technology,Software,4-Dec-18,Early Stage VC,Series A,11.3,,15.16,9,"Bolt Innovation Group, Fastenal, Firebolt Ventures, Hub Angels Investment Group, Hyperplane Venture Capital, LRVHealth, MassVentures, Tola Capital, Valley Venture Mentors",www.machinemetrics.com
ELSA,25,"Los Gatos, CA",Privately Held (backing),"Provider of an AI-assisted language learning platform intended to improve English pronunciation. The company platform uses artificial intelligence and proprietary speech recognition technology with a unique capability to identify phoneme-level pronunciation feedback to language learners around the world and provide them with real-time phonetic instructions on how they can fix these errors, enabling them to speak English more fluently and confidently.","Artificial Intelligence & Machine Learning, EdTech, Mobile, TMT",Consumer Products and Services (B2C),Services (Non-Financial),27-Feb-19,Early Stage VC,Series A,7,28,10.2,11,"500 Startups, Discovery Ventures, Edulab, FPT Ventures, Google Developers Launchpad, Gradient Ventures, Graph Ventures, Monk's Hill Ventures, Social Capital, SOSV, StartX",www.elsaspeak.com
NowRx,25,"Mountain View, CA",Privately Held (backing),"Developer of an on-demand pharmacy, founded with the goal of developing software, artificial intelligence, robotics and logistics to create the most convenient retail pharmacy service available. The company is focused on free same-day delivery for prescription and OTC medications, thereby eliminating the need to visit a pharmacy.","HealthTech, LOHAS & Wellness, Mobile, TMT",Information Technology,Software,19-Mar-18,Early Stage VC,Series A,7,27,12.3,3,"Plug and Play Tech Center, Ulu Ventures, Visary Capital",www.nowrx.com
Mobile Doorman,25,"Chicago, IL",Privately Held (backing),"Developer of a property management software designed to manage properties from digital devices. The company's software features streamlined communication, package notifications, maintenance request management, a virtual bulletin board, a streamlined terminal to access rent payment dashboards, enabling property owners to monitor and manage their properties using their mobiles, in a hassle-free manner.","Mobile, Real Estate Technology, SaaS, TMT",Information Technology,Software,17-Dec-18,Early Stage VC,,3.5,,7.4,8,"Bill Wolf, David Schwartz, Doug Hirsh, KGC Capital, Max Peek, Reimagined Ventures, Terry Diamond, VisionTech Partners",www.mobiledoorman.com
Elemental Machines,25,"Cambridge, MA",Privately Held (backing),"Provider of a suite of intelligent technology software designed to improve experimental reproducibility. The company's intelligent technology software revolutionizes complex biology and chemistry-based processes with powerful insights, enabling scientists to improve research, development and manufacturing outcomes.","Artificial Intelligence & Machine Learning, Big Data, TMT",Healthcare,Healthcare Technology Systems,2-Oct-18,Early Stage VC,Series A,9,19,11.53,12,"2M Companies, Digitalis Ventures, FF Angels, Founders Fund, Hemisphere Ventures, KdT Ventures, Lightspeed Venture Partners, Max Levchin, Project 11 Ventures, Rock Health, SparkLabs, TA Ventures",www.elementalmachines.io
Holberton School,25,"San Francisco, CA",Privately Held (backing),"Provider of project-based peer learning services designed to train software engineers. The company's service offers hands-on training programs for a period of two or more years, enabling software and operations engineers to enhance their concepts and skills in software and prepare themselves to work in the technology industry.",EdTech,Consumer Products and Services (B2C),Services (Non-Financial),9-Apr-18,Early Stage VC,Series A,8.2,33.2,12.5,13,"AME Cloud Ventures, Daphni, Insight Partners, Jonathan Boutelle, Omidyar Network, Partech Partners, Priyanka Chopra, Reach Capital, Shaffer Smith, Solomon Hykes, TheFamily, Trinity Ventures, Zhiyuan Yang",www.holbertonschool.com
RevUp,25,"Redwood City, CA",Privately Held (backing),"Developer of data analytics software intended to improve fundraising. The company's software helps fundraisers, while working with existing software, to create new ways to identify, target and engage their networks, accelerating the fundraising efforts of academic, nonprofit and political organizations","FinTech, SaaS, TMT",Information Technology,Software,8-Oct-18,Early Stage VC,Series A,7.5,,12.5,37,"270 Strategies, Alumni Ventures Group, Andrew Bleeker, Base Ventures, Bradley Crate, Bruce Nilson, Chris Kelly, Drew Perkins, Evan Goldberg, Greylock Partners, Harris Barton, Jeremy Bird, Joe Rospars, Joe Trippi, John Riccitiello, John Shallman, John Simms, John Yob, Jumpstart Ventures, Lily Sarafan, Max Schireson, Michael Beach, Omidyar Network, Reid Hoffman, Ronald Lott, Royal Street Ventures, RPM Ventures, Salesforce Ventures, Sean Parker, Spero Ventures, Steven Luczo, The Valley Fund, Todd Bradley, Vertical Strategies Consulting, WPP, WPP Luxembourg Gamma Three, Zac Moffat",www.revup.com
Eversound,25,"Boston, MA",Privately Held (backing),"Developer of headphones designed to provide smart audio technology for senior living communities. The company's headphones can amplify and adjust high frequency sounds, enabling senior citizens to get the perfect volume during group events and activities.",,Consumer Products and Services (B2C),Consumer Durables,10-Dec-18,Early Stage VC,Series A,5,20,10,7,"10X Venture Partners, Brightview Senior Living, eLab Accelerator, Hudson River Capital Partners, Red Bear Angels, Ron Feinstein, Western New York Venture Association",www.eversoundhq.com
Oculii,25,"Beavercreek, OH",Privately Held (backing),"Developer of advanced radar sensors designed to offer the future of autonomous sensing. The company is developing high resolution imaging radar sensors that can generate 4D point clouds (X,Y,Z, Doppler) capable of direct pixel fusion with camera or LIDAR systems, enabling customers to extract accuracy, range and 4D positioning information.","Industrials, Internet of Things, TMT",Business Products and Services (B2B),Commercial Products,8-Jun-18,Early Stage VC,Series A1,6.77,66.77,17.68,11,"Comet Labs, Decent Capital, F50, First Star Ventures, Legend Star, Li Qing Zeng, PreAngel, Qihoo 360 Technology, Radiant Venture Capital, Samsung Venture Investment, Westlake Ventures",www.oculii.com
Torchlite Technologies,25,"Indianapolis, IN",Privately Held (backing),"Provider of a campaign management platform designed to create nimble and tech-enabled approach to get marketing done. The company's platform combines people, technology and campaigns into a single interface to deliver integrated email, mobile, social and online campaigns, enabling business to access, engage, and manage vetted freelance digital marketing experts to fill critical marketing gaps and drive results.","Marketing Tech, TMT",Information Technology,Software,7-Mar-19,Later Stage VC,,0.15,,7.8,6,"316 Investments, Collina Ventures, Elevate Ventures, Innovatemap, Salesforce Ventures, Scott McCorkle",www.torchlite.com
